페이지,사용자,기능명,기능설명,구현방법,비고
메인페이지,일반사용자,지역선택,사용자가 지역을 선택할 수 있다,드롭다운 메뉴,전라남도/광주광역시/전라북도
메인페이지,일반사용자,시장선택,선택한 지역 내의 시장을 선택할 수 있다,드롭다운 메뉴,지역 선택 후 활성화
메인페이지,일반사용자,가게검색,가게명이나 키워드로 검색할 수 있다,검색 입력 필드,실시간 검색 결과 표시
메인페이지,일반사용자,지도보기,네이버 지도에서 가게 위치를 확인할 수 있다,Naver Maps API,마커로 가게 위치 표시
메인페이지,일반사용자,가게리스트,필터링된 가게 목록을 볼 수 있다,카드형 리스트,영업상태/카테고리 표시
점포상세페이지,일반사용자,점포정보조회,점포의 상세 정보를 볼 수 있다,상세 페이지,영업시간/연락처/주소/설명
점포상세페이지,일반사용자,상품목록조회,점포에서 판매하는 상품을 볼 수 있다,상품 리스트,시그니처 상품 강조
점포상세페이지,일반사용자,리뷰작성,점포에 대한 리뷰를 작성할 수 있다,리뷰 폼,익명 사용자/쿨다운 1분
점포상세페이지,일반사용자,리뷰조회,다른 사용자의 리뷰를 볼 수 있다,리뷰 리스트,최신순 정렬
점포상세페이지,일반사용자,스탬프확인,현재 스탬프 현황을 확인할 수 있다,스탬프 UI,리뷰 개수 기반
점포상세페이지,일반사용자,배지획득,스탬프 개수에 따른 배지를 획득할 수 있다,배지 시스템,브론즈/실버/골드/플래티넘
공통,일반사용자,익명인증,별도 회원가입 없이 서비스를 이용할 수 있다,Firebase Anonymous Auth,간편한 접근성
공통,일반사용자,실시간동기화,리뷰나 스탬프 정보가 실시간으로 업데이트된다,Firebase Firestore,실시간 리스너
관리자페이지,관리자,점포등록,새로운 점포를 등록할 수 있다,관리자 폼,승인 프로세스 포함
관리자페이지,관리자,점포수정,기존 점포 정보를 수정할 수 있다,편집 폼,점포 정보 업데이트
관리자페이지,관리자,리뷰관리,부적절한 리뷰를 관리할 수 있다,관리 도구,욕설 필터링/신고 기능
상인페이지,상인,점포등록신청,상인이 직접 점포 등록을 신청할 수 있다,등록 폼,관리자 승인 대기
상인페이지,상인,점포정보수정,본인 점포 정보를 수정할 수 있다,편집 폼,실시간 반영
상인페이지,상인,상품관리,판매 상품을 추가/수정/삭제할 수 있다,상품 관리 도구,이미지 업로드 포함
